gene	tpm
YCR002C	63.11
YCR003W	56.3323
YCR004C	157.0359
YCR005C	142.847
YCR006C	19.5797
YCR007C	14.386484
YCR008W	67.0968
YCR009C	106.7252
YCR010C	2.36861
YCR011C	62.8851000018089
YCR012W	5538.19
YCR013C	0
YCR014C	11.7516
YCR015C	27.1508
YCR016W	40.8863
YCR017C	52.1028
YCR018C	125.832
YCR018C-A	102.789
YCR019W	18.91873
YCR020C	4.68847
YCR020C-A	44.8961
YCR020W-B	36.9864
YCR021C	89.5379
YCR022C	4.81832
YCR023C	18.3393
YCR024C	18.42861
YCR024C-A	400.432
YCR024C-B	87.0304
YCR025C	8.431325
YCR026C	46.266
YCR027C	29.66391
YCR028C	23.92972
YCR028C-A	187.241
YCR030C	16.68619
YCR031C	789.5915
YCR032W	15.8806
YCR033W	33.0531
YCR034W	55.8839
YCR035C	74.0614
YCR036W	102.8922
YCR037C	31.2319
YCR038C	5.86658
YCR038W-A	0
YCR039C	12.0581
YCR040W	0.126332
YCR041W	23.1293
YCR042C	13.0448
YCR043C	71.99466
YCR044C	52.1554
YCR045C	3.92316e-07
YCR045W-A	8.62086
YCR046C	89.9361
YCR047C	26.3982
YCR047W-A	0
YCR048W	46.915740809
YCR049C	23.3939
YCR050C	0
YCR051W	57.2921
YCR052W	36.512
YCR053W	146.8363
YCR054C	24.8413
YCR057C	98.9031000001348
YCR059C	43.69337
YCR060W	132.121
YCR061W	38.48807
YCR063W	10.32954
YCR064C	11.9297
YCR065W	18.18921
YCR066W	14.5004000014292
YCR067C	50.5221
YCR068W	15.6022
YCR069W	56.254
YCR071C	59.3118
YCR072C	67.4263
YCR073C	17.8338
YCR073W-A	65.9346
YCR075C	16.4334
YCR075W-A	38.23585
YCR076C	38.34653
YCR077C	70.4694
YCR079W	33.7408
YCR081C-A	0
YCR081W	17.2608
YCR082W	335.0124
YCR083W	94.2325
YCR084C	64.7528
YCR085W	2.72537
YCR086W	25.4072
YCR087C-A	12.5714
YCR087W	56.1477
YCR088W	142.383
YCR089W	4.51655
