"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YJR125C",6.5899529193823,6.32607021353171,154.620573170718,3.54789154041929e-17,1.55353134144156e-15,29.0726028842886
"YER125W",8.14036769086799,8.1799978188148,164.357890998107,2.01099200483709e-17,1.55353134144156e-15,29.0701135157374
"YDR422C",6.55612690083602,6.56237559503931,154.408091469341,3.59353600078349e-17,1.55353134144156e-15,29.0656477694481
"YER025W",8.32180248902123,8.53715381515862,166.133600617713,1.81980871552235e-17,1.55353134144156e-15,29.0633651605512
"YBR058C",6.98958198258332,6.9097811635433,155.01357637352,3.4651505935764e-17,1.55353134144156e-15,29.0483186072711
"YKL135C",6.76803002769692,6.63968525303358,154.208041338786,3.63710499396462e-17,1.55353134144156e-15,29.0438250297209
"YOR124C",7.92386859105794,7.78940262076803,161.084352327029,2.42455677402099e-17,1.55353134144156e-15,29.0332513309837
"YGL173C",9.37953616584258,9.47435428986677,178.908637016455,9.13953077482708e-18,1.55353134144156e-15,29.0265275056471
"YNL121C",8.23301935602818,8.21595830246388,163.979888625708,2.05450050960323e-17,1.55353134144156e-15,29.026345199207
"YGR229C",7.75642171453608,7.6353889434258,159.183887691992,2.70736192957746e-17,1.55353134144156e-15,29.018311880961
"YJR001W",6.89355417680366,6.95430462222807,153.670962277143,3.75699719627785e-17,1.55353134144156e-15,29.0091572830954
"YJR109C",7.2121231623869,7.43384885274974,154.960537741496,3.47619130397115e-17,1.55353134144156e-15,29.0058211077403
"YDR234W",6.91966762296034,7.38624001006565,153.500479606866,3.79596420859333e-17,1.55353134144156e-15,28.9986210378359
"YER005W",6.41137589437909,6.5482616248334,152.681764535199,3.9894409876533e-17,1.55353134144156e-15,28.9966079192458
"YOL145C",7.25976908519894,7.19890735908855,154.988329909915,3.47040113642027e-17,1.55353134144156e-15,28.996369628536
"YOL038W",8.18637014009079,7.63793123540096,162.413826695415,2.24620134866094e-17,1.55353134144156e-15,28.9903534870309
"YCL050C",8.43217519371214,7.88887196229422,164.931967437576,1.94685374802524e-17,1.55353134144156e-15,28.9869333314326
"YBR039W",7.16482591877269,6.97594441916758,154.211058424613,3.63644357255259e-17,1.55353134144156e-15,28.9856492937719
"YCR077C",7.56646267543221,7.61831034645683,156.501211346901,3.17075933960284e-17,1.55353134144156e-15,28.9765409848211
"YOR141C",6.65416651116798,6.6213369000088,152.246267273659,4.09678821982872e-17,1.55353134144156e-15,28.9738678753185
"YOR197W",7.34781695599073,7.51136447637632,154.843319354353,3.50073036194465e-17,1.55353134144156e-15,28.970113344551
"YJL225C",6.97541686678252,7.13194489482653,152.914408278192,3.93337512447692e-17,1.55353134144156e-15,28.9669747993767
"YJL129C",6.99253416433818,7.21616995901336,152.794005171414,3.96228188408296e-17,1.55353134144156e-15,28.9598048116676
"YIL137C",7.16132052008468,7.28814795026331,153.522745335413,3.79084963840822e-17,1.55353134144156e-15,28.9593874662946
"YEL058W",7.58807126762293,7.52214420349883,155.99578540814,3.26755163848429e-17,1.55353134144156e-15,28.9514159773887
"YGR125W",6.70449069006947,6.82151264502982,151.746330575577,4.22398116527088e-17,1.55353134144156e-15,28.9497999450024
"YOR109W",7.48101851410489,7.48410843096816,155.119002581264,3.44331983222757e-17,1.55353134144156e-15,28.9473463949894
"YBR234C",7.379781367375,7.28677513041452,154.421648085526,3.59060448054e-17,1.55353134144156e-15,28.9463723331575
"YJL026W",8.29105625375307,8.62375405327343,161.899327577633,2.3134401482826e-17,1.55353134144156e-15,28.9379140666828
"YDR128W",7.17555342854936,7.14411663876726,153.052500236486,3.90050876807202e-17,1.55353134144156e-15,28.9375629179627
"YPL031C",6.12687248854005,5.93667075848231,151.710938078301,4.23315005968056e-17,1.55353134144156e-15,28.9357340232555
"YBL058W",7.98999078781955,7.38976723453728,158.890081390696,2.7542582405392e-17,1.55353134144156e-15,28.9344489656104
"YLR208W",7.59508649404315,7.59549085227387,155.564488294995,3.35273925471805e-17,1.55353134144156e-15,28.9336304665664
"YLL043W",6.5508170872987,6.73355083657246,151.007246302558,4.42010471137539e-17,1.55353134144156e-15,28.9272449456165
"YBL017C",8.58327363854438,8.73328965803759,164.188366815972,2.03037693436404e-17,1.55353134144156e-15,28.9106654561749
"YOR336W",7.69291330951414,7.63341227603022,155.512453125798,3.36318218921482e-17,1.55353134144156e-15,28.9037631747115
"YOR142W",7.14993737507514,7.18939239767693,152.025246245516,4.15248921408853e-17,1.55353134144156e-15,28.901297668088
"YOR207C",8.02897157543251,8.14322244736185,158.243763434536,2.86062024980801e-17,1.55353134144156e-15,28.8992702144098
"YMR083W",9.24185876602219,9.21601217337206,171.990807412597,1.31867219801701e-17,1.55353134144156e-15,28.8989825751813
"YOR230W",9.3944051197783,9.16752989152434,173.961852231039,1.18612559904713e-17,1.55353134144156e-15,28.8960337257722
"YNR051C",7.86935937910979,7.58697213857517,156.71011298037,3.13168442243727e-17,1.55353134144156e-15,28.8942044071919
"YBR208C",7.15346673691612,7.3109475994085,151.829551247408,4.20250828824624e-17,1.55353134144156e-15,28.8927644393062
"YLR203C",7.11565809499347,6.97309487241777,151.638474142342,4.25199164535749e-17,1.55353134144156e-15,28.8923291002084
"YLR371W",7.09042038486192,7.12444584219482,151.423677488297,4.30838951398049e-17,1.55353134144156e-15,28.8884214236612
"YPR089W",6.65553111684913,6.73738091693566,150.017679829499,4.69866750442782e-17,1.55353134144156e-15,28.8813620942994
"YMR247C",7.28345849218413,7.56928208815786,152.188354088932,4.11130286955065e-17,1.55353134144156e-15,28.8809380322886
"YMR012W",9.63189278613977,9.7912660229442,176.57179428244,1.03277858368346e-17,1.55353134144156e-15,28.8796777401225
"YJR117W",7.71226165229605,7.32626446882982,154.913224968091,3.48607298373815e-17,1.55353134144156e-15,28.8752763129673
"YHR072W",6.46947137457221,6.8033845832691,149.573284105407,4.83004606064766e-17,1.55353134144156e-15,28.8689079104962
"YLR060W",8.78580364030706,9.00029968781031,164.949175579451,1.94496647726122e-17,1.55353134144156e-15,28.8627373950948
"YBR082C",7.99902658627164,7.49240331572627,156.650933081217,3.14269956737539e-17,1.55353134144156e-15,28.8525724403375
"YKL175W",6.95648841433717,6.85804192649413,150.014343236713,4.69963904722982e-17,1.55353134144156e-15,28.8508812283522
"YML086C",6.89057032885306,7.04365273403686,149.533995449235,4.84185545345911e-17,1.55353134144156e-15,28.8399848379758
"YCL028W",7.02036529439791,7.1412384868956,149.955530456673,4.71680061622403e-17,1.55353134144156e-15,28.8395700629778
"YNL287W",8.61405602606766,8.75690335445278,162.0471275556,2.29389906040952e-17,1.55353134144156e-15,28.8318774151515
"YJR064W",8.68124793164904,8.49937594440601,162.60806098147,2.22138245090912e-17,1.55353134144156e-15,28.8256416080582
"YER080W",7.44296517899414,7.2156221817988,151.736612964078,4.22649644865606e-17,1.55353134144156e-15,28.8251142165842
"YOR157C",7.83945373352396,7.27261181823069,154.559714828619,3.56089892028451e-17,1.55353134144156e-15,28.8242634783527
"YGL092W",8.00940656401678,8.24717827684416,155.891033855077,3.28801898230457e-17,1.55353134144156e-15,28.8222043306915
"YBR041W",6.6054813454847,6.70872407308252,148.534033657335,5.1534571708319e-17,1.55353134144156e-15,28.8205749162175
"YPL226W",9.54050715063154,9.71788769136506,172.964542154204,1.25124805177546e-17,1.55353134144156e-15,28.8192863977228
"YDL205C",6.3760598700687,6.49751701078829,148.320386628766,5.22287387176914e-17,1.55353134144156e-15,28.8132688218681
"YGL213C",6.25999486372474,6.28261393148033,148.326920839071,5.22073553404798e-17,1.55353134144156e-15,28.8073115740168
"YKL181W",8.02405594134597,8.31639028193478,155.537153574805,3.35822057322646e-17,1.55353134144156e-15,28.8040014637267
"YPR023C",6.71269658201809,6.56410966538586,148.186204678664,5.26700045761348e-17,1.55353134144156e-15,28.799524288976
