"","logFC","logCPM","F","PValue","FDR"
"YMR142C",-2.09502150463363,10.1240218325277,201.241980804848,7.98954094144755e-08,3.8041325169746e-06
"YHR137W",2.12965433214907,7.67311772571003,200.680537852108,8.09428182319062e-08,3.8041325169746e-06
"YGR094W",-1.36651139869807,10.796666637298,200.50247550995,8.12783904385547e-08,3.8041325169746e-06
"YDL223C",1.84278972458128,6.19279827052354,197.33319091193,8.75427748030931e-08,3.95375528034903e-06
"YHR203C",-1.83011109237455,10.5363241244169,197.299879482981,8.76112862766915e-08,3.95375528034903e-06
"YLL044W",-2.01527011234893,8.23472598847029,196.989594341597,8.82559532421689e-08,3.95375528034903e-06
"YJR145C",-1.97278042905143,10.7394303351112,196.983294682059,8.82690830073073e-08,3.95375528034903e-06
"YKR059W",-1.50623743126231,10.8742013875872,196.909798938993,8.84226420525342e-08,3.95375528034903e-06
"YKL161C",1.50900640205884,5.66470715814868,195.255499584581,9.19665259378717e-08,4.02127673508569e-06
"YNL247W",-0.924402451634378,8.72158587476493,195.089141213908,9.23315310055189e-08,4.02127673508569e-06
"YLR441C",-1.70535837627226,10.6576524729372,195.084561630263,9.23416183176626e-08,4.02127673508569e-06
"YHR096C",2.50459364881552,4.43817498575744,194.493509155269,9.36784054644908e-08,4.04432288419112e-06
"YLR247C",0.91851037593941,7.98475561849284,192.12623704127,9.91481184881243e-08,4.24387843921817e-06
"YBR244W",-1.63647270911233,6.54472898562163,189.991310272217,1.04438113638723e-07,4.43242434832817e-06
"YDR012W",-1.29737074182829,10.0453602165156,188.696315026941,1.07812581541034e-07,4.5371883055252e-06
"YBL092W",-1.93297654551926,10.3762744285284,188.300125744833,1.08871175107108e-07,4.54355704113664e-06
"YML130C",1.34276703680793,8.76169672198344,185.99890238714,1.15273784387089e-07,4.74843609661144e-06
"YGR214W",-2.12981179777163,10.2540878140179,185.859242782882,1.15676757944608e-07,4.74843609661144e-06
"YFL045C",-1.30805245187056,9.10230907123925,183.607355987539,1.22415044421843e-07,4.98418327206983e-06
"YIL018W",-2.01124887514002,11.2301973321381,182.560736025841,1.2570746818232e-07,5.06999411802202e-06
"YFR031C-A",-1.95557178348644,10.5665133485611,182.299022843156,1.26547377147115e-07,5.06999411802202e-06
