"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YKL135C",6.49225367806309,6.63201918681525,150.214550437114,5.58037147075751e-17,2.04573114379255e-15,28.7334407934017
"YMR247C",7.72379376674177,7.55191181675561,157.168423904426,3.67298696891857e-17,2.04573114379255e-15,28.7324783902762
"YOR335C",9.1489237305557,9.49570989764528,173.761679749456,1.45256498960196e-17,2.04573114379255e-15,28.7317537151044
"YCL050C",7.2949566128288,7.88360431890895,153.652784674311,4.52715622679585e-17,2.04573114379255e-15,28.7292432425793
"YOR124C",7.7220556279072,7.77358679163886,156.890570152113,3.73354925552551e-17,2.04573114379255e-15,28.723037741307
"YLR371W",7.16713995926466,7.10557486662179,152.367341285937,4.89267901663347e-17,2.04573114379255e-15,28.7127252158274
"YGR229C",7.48796504601127,7.62388079834925,154.497517406569,4.30346846200466e-17,2.04573114379255e-15,28.7062727354389
"YER086W",7.81569799652508,7.73579762725454,157.236240339433,3.65837119494484e-17,2.04573114379255e-15,28.7054167325296
"YNR051C",7.18292281583966,7.58210317504442,152.211895232312,4.93905451574012e-17,2.04573114379255e-15,28.7025173305484
"YLR203C",6.96265699181654,6.96458109051817,150.850757240859,5.36659718146086e-17,2.04573114379255e-15,28.6967820496174
"YFL024C",6.32239671687824,6.28762051007497,149.107239987524,5.97531621346987e-17,2.04573114379255e-15,28.6935397619436
"YJR109C",7.2745876316824,7.41922388697486,152.498095218552,4.85404360906659e-17,2.04573114379255e-15,28.6897750374921
"YDL190C",7.18515483736784,7.16220724591845,151.803780524981,5.06314585852047e-17,2.04573114379255e-15,28.685632930647
"YOR197W",7.44171596361406,7.50208035765977,153.601790549313,4.54106627464015e-17,2.04573114379255e-15,28.6855814705039
"YMR012W",9.44227131399946,9.77787326581517,176.094644517523,1.28409714972534e-17,2.04573114379255e-15,28.6843669370765
"YBL017C",8.61622591102502,8.7222099788065,164.818526012394,2.36724598583418e-17,2.04573114379255e-15,28.6795480104449
"YDR128W",7.11833198820023,7.12619614877254,151.171461887682,5.26228863050265e-17,2.04573114379255e-15,28.6766298441611
"YBR084W",8.87604483259349,8.79666268154904,167.921548254965,1.99238030948977e-17,2.04573114379255e-15,28.6758055507783
"YJR117W",6.93227522499174,7.31911919260286,150.165842021542,5.59712299765925e-17,2.04573114379255e-15,28.6741357649793
"YCR033W",7.18145926415068,7.07815230618321,151.375534676967,5.1970848893305e-17,2.04573114379255e-15,28.6694808342633
"YNL121C",7.93846574123364,8.21047507973119,157.333477451018,3.63752701255e-17,2.04573114379255e-15,28.6690365118026
"YLR208W",7.30990354689068,7.59371525352181,151.861038034494,5.04552962262573e-17,2.04573114379255e-15,28.6552355540249
"YLR389C",6.68922340188232,6.65166173947685,148.699509427714,6.12846440906706e-17,2.04573114379255e-15,28.6492586744107
"YDL126C",9.89823797471249,10.3475385264638,180.864005962211,1.00304551541364e-17,2.04573114379255e-15,28.6484060022946
"YOR336W",7.69935052104818,7.61700689112282,154.506019594601,4.30128023590854e-17,2.04573114379255e-15,28.6425912849789
"YNL330C",5.99886908305141,6.12286686011594,148.042351302259,6.38453902778568e-17,2.04573114379255e-15,28.630467615442
"YJR001W",6.71593419493785,6.9404414579851,148.287421809375,6.28768147407643e-17,2.04573114379255e-15,28.6284001555314
"YMR083W",9.10627635108165,9.20260556399702,169.217967806813,1.85566818810628e-17,2.04573114379255e-15,28.6259598985402
"YML075C",7.29263013538391,7.35567334063958,150.763801648524,5.39527268783818e-17,2.04573114379255e-15,28.616115637082
"YOR207C",8.16237484893104,8.1317225163335,157.858398819172,3.52725106568684e-17,2.04573114379255e-15,28.6126668464984
"YBR041W",6.37981985547343,6.7009125783562,147.20544351725,6.72797914121072e-17,2.04573114379255e-15,28.6113323548412
"YOR230W",9.08289642589068,9.14294089330008,168.329347852289,1.94820931753591e-17,2.04573114379255e-15,28.6102124752497
"YLR422W",7.41459332956763,7.40712069176404,151.279444826471,5.22767455754394e-17,2.04573114379255e-15,28.6029855453152
"YEL058W",7.39981386232304,7.504303872742,151.107847646443,5.28279909285706e-17,2.04573114379255e-15,28.6005112382198
"YEL025C",6.99605961101371,6.7958651192477,148.650730578025,6.14707576684907e-17,2.04573114379255e-15,28.5993383382992
"YJR064W",8.11464953971887,8.49328190629054,156.975910933322,3.71483105558341e-17,2.04573114379255e-15,28.598049625923
"YKR018C",7.65795103516716,8.01655509407287,152.895150762438,4.73877776147603e-17,2.04573114379255e-15,28.5946903559971
"YOR142W",6.89717905083597,7.18228598237883,148.035254399871,6.38736841323576e-17,2.04573114379255e-15,28.5910712906235
"YNL048W",6.03574036046311,6.06013369177397,146.99491747094,6.81756174457759e-17,2.04573114379255e-15,28.589543102271
"YOR275C",6.32154530093728,6.14343306456778,146.625409825652,6.97800736312636e-17,2.04573114379255e-15,28.5865740904371
"YBR234C",7.16289322851174,7.27174774542809,149.055063942951,5.99467540884232e-17,2.04573114379255e-15,28.5797704916107
"YOL130W",7.53416005289393,7.25674906618644,151.540650168781,5.14498345807278e-17,2.04573114379255e-15,28.5791391126294
"YLR060W",8.80356153355046,8.98451411332039,163.669093880723,2.52543111436324e-17,2.04573114379255e-15,28.5769566003692
"YPR089W",6.60733470131524,6.7267201037437,146.722044700401,6.93564683055559e-17,2.04573114379255e-15,28.5744640172485
"YJL026W",8.81087240251956,8.61811312029414,163.61268264138,2.53349055310644e-17,2.04573114379255e-15,28.5725455827057
"YCR073C",6.34626382802044,6.15275861321721,146.228979770444,7.15481076113605e-17,2.04573114379255e-15,28.5692612019422
"YBR080C",7.10512475887109,7.33881020960523,148.474602551017,6.21479984886156e-17,2.04573114379255e-15,28.5689071383173
"YGL221C",6.51810781522356,6.55933705300969,146.319087003851,7.11419225642142e-17,2.04573114379255e-15,28.5648066252528
"YBR286W",9.57075550417997,9.96565444215638,172.8105927001,1.52815667106025e-17,2.04573114379255e-15,28.5592615504615
"YER080W",6.88809244473902,7.21297170464489,147.1575985711,6.74822289829932e-17,2.04573114379255e-15,28.5551452438596
"YPL226W",9.5742478904841,9.70518525341138,172.544039483842,1.55011685006311e-17,2.04573114379255e-15,28.5515125245009
"YPR019W",7.04384418684769,6.98181267853528,147.741941890298,6.5055302404941e-17,2.04573114379255e-15,28.5511514290358
"YGL092W",8.23817545344656,8.23446629490936,156.596911351145,3.79876184566142e-17,2.04573114379255e-15,28.5435765511256
"YDR093W",7.8281419826022,7.86348078131478,152.832884171368,4.75665158149894e-17,2.04573114379255e-15,28.5403105226444
"YML031W",6.794081497671,7.0203507029144,146.452664049469,7.05444780379376e-17,2.04573114379255e-15,28.5392260925994
"YBR208C",7.32367196406973,7.29842778711812,148.947857754544,6.03467126801088e-17,2.04573114379255e-15,28.5342546998662
"YGL256W",6.24766326256009,6.1660347290803,145.432133555226,7.52541073507815e-17,2.04573114379255e-15,28.5338171350786
"YGL167C",8.34778080636682,8.53495734190947,157.329074490466,3.63846800110468e-17,2.04573114379255e-15,28.5317708938569
"YNL287W",8.4893321711034,8.74629243698461,158.726123743437,3.35299082862365e-17,2.04573114379255e-15,28.5310264835372
"YIL142W",7.89603074937848,8.27046366042959,152.862556930496,4.74812462254928e-17,2.04573114379255e-15,28.5203684276034
"YHL030W",8.61289631982391,8.8808314805659,159.699191137599,3.16883473861902e-17,2.04573114379255e-15,28.5202852457801
"YDR238C",8.78968261466768,8.99890411470882,161.532208709424,2.85160261520974e-17,2.04573114379255e-15,28.5164271873537
"YPL031C",5.82073217087049,5.93390864923385,145.726530515008,7.38606962276623e-17,2.04573114379255e-15,28.5047939603587
"YCR004C",7.14762816717484,7.35576313688616,147.092706530559,6.77578741726019e-17,2.04573114379255e-15,28.5014256719333
"YLR143W",5.79698683637745,5.9201418369689,145.395290425379,7.54305310623107e-17,2.04573114379255e-15,28.4860416709819
"YPL063W",6.9798439886519,7.16241703619893,145.769138240914,7.36614083465908e-17,2.04573114379255e-15,28.479827726203
"YGR123C",6.73368294680704,6.93718642903513,144.8222987256,7.82341389821266e-17,2.04573114379255e-15,28.4757358785559
"YOL052C",6.57805630326022,6.56729292327637,144.271552395785,8.10381095406562e-17,2.04573114379255e-15,28.4691101912967
"YGR253C",7.04739589040859,7.51335715855404,145.77020493452,7.3656426782726e-17,2.04573114379255e-15,28.4662234737622
"YJL109C",9.24278370537988,9.30354142374316,165.138289162142,2.32521533377879e-17,2.04573114379255e-15,28.4627005229261
