"","logFC","logCPM","F","PValue","FDR"
"YBR206W",-0.980991169320766,6.29481027106118,170.619033521994,2.53540733491355e-07,1.13986210614156e-05
"YBL092W",-1.95038226222935,9.82548413694283,170.189442363355,2.56406711597751e-07,1.13986210614156e-05
"YJR145C",-1.98369156497092,10.2050959394701,170.146636798613,2.56694448735471e-07,1.13986210614156e-05
"YGR061C",-1.29830943337785,9.30753104919569,169.34108555479,2.62183144501937e-07,1.14959658447453e-05
"YHR203C",-1.84298704991712,9.9968557544551,169.311836519515,2.62385099925715e-07,1.14959658447453e-05
"YLR106C",-1.34036658180363,10.067747825357,168.515331877656,2.67958041186626e-07,1.16623857395928e-05
"YOL152W",-1.44584098360384,5.22235545618994,168.167544564766,2.70437439585674e-07,1.16928608747174e-05
"YGR214W",-2.14261594022668,9.69668160807997,166.90360903505,2.79680915513186e-07,1.19651111532345e-05
"YDR012W",-1.31523684208899,9.49665770070727,166.810709897144,2.80375398295513e-07,1.19651111532345e-05
"YJL089W",2.648001815764,2.74112683623971,166.469785305815,2.83416644108862e-07,1.20168657102157e-05
"YDR258C",2.22930529480357,7.31707555203515,165.522000770783,2.90228835495817e-07,1.22184142793039e-05
"YBR114W",1.33884597329804,6.71555766676629,164.874414891264,2.95338751929884e-07,1.22184142793039e-05
"YLR389C",-0.81974763245835,6.69105042527856,164.701761955124,2.96719430125573e-07,1.22184142793039e-05
"YPL160W",-1.32775011168267,10.0300772512321,164.62389945743,2.97344576487504e-07,1.22184142793039e-05
"YIR038C",1.19007027040843,5.91881596372931,164.608857031665,2.9746595932572e-07,1.22184142793039e-05
"YML128C",2.12678538732681,6.43543701878336,164.157235539472,3.01126039995502e-07,1.22919275456549e-05
"YFR031C-A",-1.9707457088258,10.0109177016162,162.999058698443,3.10764644106852e-07,1.25749143061968e-05
"YFL045C",-1.32389214279277,8.5456349757526,162.748650843567,3.12897674899872e-07,1.25749143061968e-05
"YOR369C",-1.95266184469133,10.0027542951496,162.374683816186,3.16116376608558e-07,1.25749143061968e-05
"YBR191W",-1.87340090380117,9.4953601164723,162.167244869247,3.17919119289277e-07,1.25749143061968e-05
"YPR160W",2.61275456701475,6.9753087350292,162.132759854043,3.1822047661708e-07,1.25749143061968e-05
"YLL044W",-2.02378864322352,7.76626835355719,161.927907090074,3.20014647031194e-07,1.25749143061968e-05
"YPL249C-A",-2.00717725897607,8.58189513090345,161.764779279548,3.21452465526637e-07,1.25749143061968e-05
"YLR168C",1.23648900434551,4.81224261987749,161.094116983136,3.27448984222968e-07,1.27246616746837e-05
"YHR216W",-1.18540322137551,6.91114375374728,160.739666492021,3.30669848494588e-07,1.27246616746837e-05
"YBR052C",1.16252981444339,6.75962223701836,160.693874527024,3.31089036270682e-07,1.27246616746837e-05
"YBR121C",-1.1773178413138,8.90679273709052,160.061679860558,3.36942330626072e-07,1.28017990638086e-05
"YIL018W",-2.02377058615995,10.6688739981666,160.056375009799,3.3699197170403e-07,1.28017990638086e-05
"YNL274C",2.07994947435852,4.68191937223256,159.843251832462,3.39010788403904e-07,1.28044764447727e-05
"YKL216W",-1.99602874910999,7.97989284511803,158.999946546985,3.47058126268419e-07,1.30335200333488e-05
"YOR007C",1.11671237952247,9.4174541116087,158.584907106233,3.51112399050325e-07,1.31108561736292e-05
"YER102W",-1.87582410173697,9.52390298166743,158.169588039521,3.55227119623227e-07,1.31599752229494e-05
"YNL088W",-0.964449691558262,7.62499146043471,158.049012804016,3.56432682544885e-07,1.31599752229494e-05
"YCR031C",-1.79715469253115,9.65991325924398,157.668138321401,3.6027344097369e-07,1.32274695758608e-05
"YGL031C",-2.09405432294887,9.24466762604676,157.05375249981,3.66575441023795e-07,1.33840766578243e-05
"YNL030W",-1.58728321568644,8.1254122479732,156.190447469986,3.75658409322501e-07,1.36399285418093e-05
"YOL052C-A",4.3538726196153,2.78527389591759,156.0484832013,3.79412761994528e-07,1.36632833878777e-05
"YER142C",1.76981355961446,5.03249083469854,155.744512602244,3.80459656114062e-07,1.36632833878777e-05
"YNL155W",1.19594428982639,6.47681908155284,155.507658079547,3.83036341854049e-07,1.3681058905787e-05
"YGR285C",-1.22208029154707,9.19009630750581,154.088823993942,3.98937449300772e-07,1.41719833340793e-05
"YOR375C",-1.83102155723565,7.12805101794627,153.378926816502,4.07194044926238e-07,1.43755709802936e-05
"YDL222C",1.83440939472381,3.03805701674853,153.236920663058,4.09043179141038e-07,1.43755709802936e-05
"YGL016W",-1.06577425691856,7.48765726412283,151.857064131009,4.25603974615723e-07,1.46710610531243e-05
"YJL136C",-1.75504425284978,8.52246971388428,151.851756488306,4.25669896945276e-07,1.46710610531243e-05
"YNL178W",-2.02800987831227,10.3020332483014,151.712779416814,4.27401265068917e-07,1.46710610531243e-05
"YDR418W",-1.88299259031679,9.39382449018391,151.628395609784,4.28456697458316e-07,1.46710610531243e-05
"YIL148W",-1.75243920157224,9.68710028223887,151.615931253238,4.28612860955549e-07,1.46710610531243e-05
"YLR029C",-1.75626911431908,10.5075878917752,151.333730915,4.32167099053852e-07,1.47086988383901e-05
"YIL069C",-1.31751489844858,8.84295190017421,151.174480449065,4.34188614523384e-07,1.47086988383901e-05
"YDL075W",-1.96129493988645,8.6820044617596,150.911697385993,4.37549516127246e-07,1.47092438137584e-05
"YKR043C",-0.965726277850682,7.18407359206211,150.823780686493,4.38681038876544e-07,1.47092438137584e-05
"YJL066C",1.21824764488659,5.46106664227312,149.397665977534,4.57541693308695e-07,1.52416810449693e-05
"YLR185W",-1.67976828302022,8.38779268162497,149.275701257171,4.5919854639439e-07,1.52416810449693e-05
"YIL043C",-0.952740091375467,7.68524574146454,148.534765081086,4.69430078115711e-07,1.55029873033993e-05
"YGL037C",2.55608283876751,8.26564164852627,148.338268710495,4.72189785549411e-07,1.55161563531537e-05
"YOR362C",0.806599770537523,7.91352176826841,147.807018481512,4.79750024455624e-07,1.56861550284695e-05
"YBR263W",-1.41077748140549,8.09497498628647,147.250173246365,4.8783283827079e-07,1.58714723421566e-05
"YDR023W",-1.20294711390753,9.1183786733716,147.003776660486,4.91462055626845e-07,1.59107814265006e-05
"YNL302C",-1.81261769715343,8.67234334900337,146.643412745469,4.9682916094759e-07,1.59738811833713e-05
"YDR385W",-1.71604404076757,12.3774407346894,146.547319223354,4.98272313236629e-07,1.59738811833713e-05
"YDL083C",-1.70652682106876,9.26569257050733,146.153608710301,5.04238600314785e-07,1.60866800061591e-05
"YGL202W",-0.887313922248148,8.68667202603982,145.874801365865,5.08516131243962e-07,1.6117010453261e-05
"YKL120W",-1.5366277656399,6.28909904765251,145.654741747947,5.11924030692182e-07,1.6117010453261e-05
"YLR344W",-1.32016770027568,8.36314707715158,145.597755553441,5.12810344139008e-07,1.6117010453261e-05
"YNL069C",-1.9348354040622,10.2785349768624,145.457643616578,5.14998812414e-07,1.6117010453261e-05
"YER165W",-1.27486308391248,9.64247930094991,145.236031539701,5.18483486916307e-07,1.61417094211196e-05
"YJL200C",-0.931628697982688,7.36452869948812,145.081312264051,5.20933360303195e-07,1.61417094211196e-05
"YNL200C",1.3325535996993,5.3332177303265,144.925819046094,5.23411346170706e-07,1.61417094211196e-05
"YOL127W",-1.96062249130733,9.5830035205412,144.788229296385,5.25612570925074e-07,1.61417094211196e-05
"YDR461C-A",1.53619691959968,3.36116108278703,144.640967544391,5.28101970065182e-07,1.61427262663645e-05
"YDL181W",1.44754316685513,4.24225491501869,144.227516675333,5.34772958102119e-07,1.6189783009119e-05
"YLR061W",-2.00729031910519,8.92072141219864,144.219751012542,5.34835030114212e-07,1.6189783009119e-05
"YOR108W",-0.983234916992355,7.60747729601,144.086098522783,5.37031755323788e-07,1.6189783009119e-05
"YML026C",-1.72012240355527,9.10990725175143,143.645520459806,5.44350944978362e-07,1.63252937243086e-05
"YJL138C",-1.11074664241245,9.95343480884185,143.365837454538,5.49060108543466e-07,1.63252937243086e-05
"YHR140W",1.40583867899983,3.55716897080549,143.096253867768,5.53729238266891e-07,1.63252937243086e-05
"YBR241C",0.971701597021384,5.25169302447974,143.088696582522,5.53777081994323e-07,1.63252937243086e-05
"YIL133C",-1.63315041556505,8.91359114550665,142.905105643859,5.56926004423036e-07,1.63252937243086e-05
"YGL076C",-1.94743931318371,10.1859508758359,142.830096445975,5.58219508243574e-07,1.63252937243086e-05
"YBL072C",-2.06709608066808,9.97583277357801,142.762358795263,5.59390760806519e-07,1.63252937243086e-05
"YHR020W",-1.34786946014552,9.38095528829607,142.646596056652,5.61399327707507e-07,1.63252937243086e-05
"YGL062W",1.25988613116127,9.00557458438061,142.371797739298,5.66202437506419e-07,1.63924335651638e-05
"YDR450W",-1.94245830156725,9.32951288225055,142.026713515286,5.72304885671378e-07,1.64716133913123e-05
"YML056C",-1.24808376167887,9.33409545951271,141.934447792868,5.73950010135503e-07,1.64716133913123e-05
"YBR139W",1.40679191795403,7.34025113078902,141.461816212381,5.82467876447847e-07,1.66004114310595e-05
"YLR048W",-1.87861258394042,10.4459912050007,141.405667881575,5.83489811408208e-07,1.66004114310595e-05
"YOR312C",-1.70165747973333,9.61040416094268,141.255157958062,5.86240299300241e-07,1.66067726163844e-05
"YDL082W",-1.50843301216304,8.98695492302277,140.503704750221,6.00210462004122e-07,1.6878965410542e-05
"YGL135W",-1.66573701459844,10.0367283774277,140.279872088447,6.0444957266468e-07,1.6878965410542e-05
"YMR170C",0.875724394467499,5.46262278510885,140.222907053998,6.05535494941324e-07,1.6878965410542e-05
"YBL027W",-1.88235662203383,9.89060273466163,140.192072275035,6.06122312368826e-07,1.6878965410542e-05
"YLR452C",-1.04142957118171,7.24325369694493,139.415356764258,6.21167595700139e-07,1.72249512191617e-05
"YER043C",-1.07580059116946,9.49203977286479,139.150023382038,6.26410655178714e-07,1.72973564110694e-05
"YDR447C",-1.8445672934069,8.1196071924981,138.947071534187,6.30457458101036e-07,1.73362611491214e-05
"YLR448W",-1.72750170333289,9.37101352766492,138.048544012255,6.48759407001091e-07,1.77651950950465e-05
"YBR062C",1.07201307516302,5.11902204272453,137.888597247936,6.52086948022471e-07,1.77822216697248e-05
"YOR096W",-1.99019150137257,9.32924044909869,137.733460534734,6.55329591057298e-07,1.77968019521841e-05
"YJL177W",-1.72211435881501,8.85349033373573,137.263318960284,6.65283909942656e-07,1.79246332738892e-05
"YER009W",-1.08373027860869,7.49774695903334,137.253605473309,6.65491557947196e-07,1.79246332738892e-05
"YLR075W",-1.64665190539664,10.6217607096964,137.039498236429,6.7008729811186e-07,1.79747498905761e-05
"YBR284W",1.82245506598235,3.98752548044339,136.685904252983,6.77848647187964e-07,1.81090297126801e-05
"YOR285W",1.24663369487159,7.10132612047328,136.200961917546,6.88461643304375e-07,1.82503594992262e-05
"YOL058W",1.84643240057473,6.48160724840919,136.086735275653,6.91012341921067e-07,1.82503594992262e-05
"YHR025W",-1.39095448026499,7.96025803738211,136.066261883247,6.9146979843386e-07,1.82503594992262e-05
"YGL047W",0.875606184643824,4.7948885662411,135.505543727293,7.04168675437833e-07,1.85111861399098e-05
"YMR202W",-0.929782041801297,7.499472524533,134.918753988102,7.17755119170198e-07,1.87931738772372e-05
"YMR116C",-2.39652028532846,10.4629712870548,134.731656237454,7.22154976970176e-07,1.88333432882857e-05
"YBL076C",-1.22217550998378,10.4049996356437,134.483240612647,7.28047601453496e-07,1.88992084787834e-05
"YOR293W",-1.77062998782568,8.97638651500942,134.302052742712,7.32382372439833e-07,1.88992084787834e-05
"YEL053W-A",-1.6172840612645,6.98280636469614,134.263552227235,7.33307693562045e-07,1.88992084787834e-05
"YBR181C",-1.87465704109978,9.71580270315957,133.816306511668,7.44158896858588e-07,1.91039541802916e-05
"YMR217W",-1.2033729578808,9.51280994344918,133.675502876,7.47615449396653e-07,1.91136771239533e-05
"YHR141C",-1.59970816940415,8.87962740974111,133.502512074607,7.51888884648095e-07,1.91136771239533e-05
"YDR379C-A",2.2277155762951,3.6112913240328,133.373710056519,7.55288946911799e-07,1.91136771239533e-05
"YDL084W",-1.24019837233291,9.2095543526281,133.330360534009,7.56171036553234e-07,1.91136771239533e-05
"YLL039C",2.27206002746974,7.14295310001959,132.514465479223,7.76873545525187e-07,1.95617354068641e-05
